0.254711	-0.102192	-0.432141
0.254711	-0.102192	-0.432141
0.254711	-0.102192	-0.432141
0.254592	-0.113902	-0.420033
0.266186	-0.113784	-0.420034
0.289373	-0.113539	-0.407919
0.300967	-0.113421	-0.407920
0.312441	-0.125005	-0.383696
0.323917	-0.136605	-0.383705
0.335391	-0.148189	-0.359481
0.358578	-0.147944	-0.347367
0.370289	-0.136100	-0.335243
0.358814	-0.124508	-0.347351
0.370408	-0.124390	-0.347352
0.370408	-0.124390	-0.347352
0.370527	-0.112671	-0.347344
0.370527	-0.112671	-0.347344
0.358814	-0.124508	-0.347351
0.358815	-0.124516	-0.359467
0.358814	-0.124508	-0.347351
0.358815	-0.124516	-0.359467
0.347221	-0.124634	-0.359466
0.347221	-0.124634	-0.359466
0.335510	-0.136479	-0.371590
0.335153	-0.171618	-0.347381
0.346628	-0.183210	-0.335273
0.346628	-0.183210	-0.335273
0.334915	-0.195046	-0.335280
0.323322	-0.195173	-0.347396
0.300135	-0.195417	-0.359510
0.288424	-0.207262	-0.371634
0.288543	-0.195552	-0.383742
0.265475	-0.184086	-0.407965
0.253881	-0.184204	-0.407964
0.184082	-0.208367	-0.432207
0.172371	-0.220211	-0.444331
0.114402	-0.220811	-0.456442
0.056076	-0.256549	-0.444345
0.056195	-0.244839	-0.456453
0.056076	-0.256549	-0.444345
0.032650	-0.280215	-0.432242
-0.014202	-0.327537	-0.395921
-0.049341	-0.363031	-0.371709
-0.084125	-0.363370	-0.347473
-0.107434	-0.375309	-0.323247
-0.107553	-0.387019	-0.311138
-0.096078	-0.398611	-0.299031
-0.096317	-0.422032	-0.274814
-0.107911	-0.422150	-0.274813
-0.108031	-0.433852	-0.250588
-0.084844	-0.433608	-0.238474
-0.026992	-0.444735	-0.238486
0.031097	-0.432433	-0.250600
0.054406	-0.420494	-0.274827
0.031338	-0.409028	-0.299050
-0.003564	-0.421093	-0.286938
-0.061656	-0.433371	-0.238475
-0.096679	-0.457131	-0.190023
-0.119989	-0.469054	-0.141563
-0.120110	-0.480748	-0.105222
-0.131708	-0.480834	-0.056755
-0.131830	-0.492521	-0.008297
-0.120239	-0.492378	0.028051
-0.108646	-0.492252	0.040167
-0.085575	-0.503750	0.015924
-0.062385	-0.503529	-0.008311
-0.039198	-0.503276	0.015920
-0.027603	-0.503166	0.003802
-0.016007	-0.503064	-0.020431
0.042205	-0.479084	-0.093119
0.100298	-0.466806	-0.141582
0.147031	-0.431193	-0.165794
0.193523	-0.418986	-0.141558
0.228541	-0.395186	-0.129428
0.263318	-0.394791	-0.068849
